section,type,title,org_or_venue,location,start_date,end_date,details
education,Ph.D.,Ph.D. in Computer Science,Hong Kong University of Science and Technology,,2024,Present,"Ph.D. in Computer Science (2024-Present) at Hong Kong University of Science and Technology"
education,B.Eng.,B.Eng.,Shanghai Jiao Tong University,,2020,2024,"B.Eng. (2020-2024) at Shanghai Jiao Tong University; Graduated from Shanghai Jiao Tong University (SJTU) in June 2024"
experience,Research Intern,Research Intern,MINIMAX,,February 2025,Present,"Research Intern at MINIMAX (February 2025 - Present); Company where Junteng Liu works as Research Intern (February 2025 - Present)"
experience,Research Intern,Research Intern,Tencent WXG,,June 2024,September 2024,"Research Intern at Tencent WXG (June 2024 - September 2024); Division of Tencent where Junteng Liu worked as Research Intern (June 2024 - September 2024)"
experience,Research Intern,Research Intern,Shanghai AI Lab,,June 2023,December 2023,"Research Intern at Shanghai AI Lab (June 2023 - December 2023); Research institution where Junteng Liu worked as Research Intern (June 2023 - December 2023)"
publication,arXiv,SynLogic: Synthesizing Verifiable Reasoning Data at Scale for Learning Logical Reasoning and Beyond,Arxiv,,2025,,"2025 publication; First author: Junteng Liu; Published on Arxiv; Co-authors: Yuanxiang Fan, Zhuo Jiang, Han Ding, Yongyi Hu, Chi Zhang, Yiqi Shi, Shitong Weng, Aili Chen, Shiqi Chen, Yunan Huang, Mozhi Zhang, Pengyu Zhao, Junjie Yan, Junxian He; Has GitHub code repository"
publication,arXiv,On the Perception Bottleneck of VLMs for Chart Understanding,Arxiv,,2025,,"2025 publication; First author: Junteng Liu; Published on Arxiv; Co-authors: Weihao Zeng, Xiwen Zhang, Yijun Wang, Zifei Shan, Junxian He; Has GitHub code repository: Vision4Chart"
publication,Conference,On the Universal Truthfulness Hyperplane Inside LLMs,EMNLP 2024,,2024,,"2024 publication; First author: Junteng Liu; Published at EMNLP 2024; Co-authors: Shiqi Chen, Yu Cheng, Junxian He; Has GitHub code repository: Universal_Truthfulness_Hyperplane"
publication,Conference,In-Context Sharpness as Alerts: An Inner Representation Perspective for Hallucination Mitigation,ICML 2024,,2024,,"2024 publication; Published at ICML 2024; Authors: Shiqi Chen, Miao Xiong, Junteng Liu, Zhengxuan Wu, Teng Xiao, Siyang Gao, Junxian He"
publication,Conference,C-Eval: A Multi-Level Multi-Discipline Chinese Evaluation Suite for Foundation Models,NeurIPS 2023,,2023,,"2023 publication; Published at NeurIPS 2023; Authors: Yuzhen Huang, Yuzhuo Bai, Zhihao Zhu, Junlei Zhang, Jinghan Zhang, Tangjun Su, Junteng Liu, Chuancheng Lv, Yikai Zhang, Jiayi Lei, Yao Fu, Maosong Sun, Junxian He"
publication,Conference,Composing Parameter-Efficient Modules with Arithmetic Operations,NeurIPS 2023,,2023,,"2023 publication; Published at NeurIPS 2023; Authors: Jinghan Zhang, Shiqi Chen, Junteng Liu, Junxian He"
skill,Research Interest,Natural Language Processing,,,,"Primary research focus of Junteng Liu"
skill,Research Interest,Machine Learning,,,,"Research focus of Junteng Liu"
skill,Research Interest,LLM Reasoning and Reinforcement Learning,,,,"Specific research interest of Junteng Liu"
skill,Research Interest,Hallucination in Vision-Language Models,,,,"Specific research interest of Junteng Liu"
skill,Research Interest,LLM Truthfulness and Interpretability,,,,"Specific research interest of Junteng Liu"
